"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.356701731E1,5.386199951E1,-2.804565430E0,4.194641113E0
9.366772532E1,5.296173096E1,-2.464294434E0,4.794311523E0
9.376843333E1,5.446166992E1,-2.285766602E0,5.694580078E0
9.386914134E1,5.446166992E1,-3.504943848E0,5.393981934E0
9.396984934E1,5.416259766E1,-3.324890137E0,6.893920898E0
9.407058787E1,5.386199951E1,-3.155517578E0,4.194641113E0
9.417288279E1,5.296173096E1,-2.984619141E0,6.294250488E0
9.427307200E1,5.356140137E1,-2.635192871E0,5.094909668E0
9.437323069E1,5.386199951E1,-2.635192871E0,5.094909668E0
9.447341990E1,5.356140137E1,-3.674316406E0,6.294250488E0
9.457412791E1,5.356140137E1,-2.984619141E0,5.694580078E0
9.467480540E1,5.266265869E1,-2.464294434E0,6.594848633E0
9.477551341E1,5.356140137E1,-3.324890137E0,4.493713379E0
9.487622142E1,5.326232910E1,-2.635192871E0,5.094909668E0
9.497692942E1,5.296173096E1,-2.464294434E0,5.393981934E0
9.507763743E1,5.386199951E1,-3.155517578E0,7.194519043E0
9.517965769E1,5.296173096E1,-2.635192871E0,3.894042969E0
9.527981638E1,5.386199951E1,-3.674316406E0,5.094909668E0
9.538000559E1,5.386199951E1,-3.155517578E0,5.995178223E0
9.548046946E1,5.386199951E1,-4.194641113E0,5.995178223E0
9.558117747E1,5.386199951E1,-3.324890137E0,5.694580078E0
9.568188548E1,5.356140137E1,-4.025268555E0,5.094909668E0
9.578259348E1,5.446166992E1,-3.674316406E0,6.294250488E0
9.588330149E1,5.356140137E1,-3.845214844E0,5.393981934E0
9.598400950E1,5.356140137E1,-4.025268555E0,7.495117188E0
9.608624339E1,5.326232910E1,-3.324890137E0,5.694580078E0
9.618643260E1,5.236206055E1,-2.464294434E0,4.194641113E0
9.628659129E1,5.236206055E1,-3.504943848E0,4.794311523E0
9.638684153E1,5.356140137E1,-4.194641113E0,5.995178223E0
9.648754954E1,5.386199951E1,-4.365539551E0,6.893920898E0
9.658825755E1,5.266265869E1,-3.504943848E0,4.794311523E0
9.668896556E1,5.356140137E1,-3.845214844E0,5.393981934E0
9.678967356E1,5.296173096E1,-3.504943848E0,5.995178223E0
9.689038157E1,5.296173096E1,-3.155517578E0,2.993774414E0
9.699285960E1,5.296173096E1,-3.504943848E0,4.794311523E0
9.709304881E1,5.326232910E1,-4.194641113E0,4.794311523E0
9.719323802E1,5.206146240E1,-3.845214844E0,3.594970703E0
9.729339671E1,5.296173096E1,-3.504943848E0,5.995178223E0
9.739392161E1,5.296173096E1,-4.194641113E0,5.393981934E0
9.749462962E1,5.206146240E1,-4.025268555E0,6.893920898E0
9.759533840E1,5.236206055E1,-3.324890137E0,4.493713379E0
9.769604641E1,5.326232910E1,-4.194641113E0,5.995178223E0
9.779675442E1,5.206146240E1,-4.025268555E0,4.493713379E0
9.789749294E1,5.266265869E1,-4.025268555E0,6.893920898E0
9.799966579E1,5.386199951E1,-4.884338379E0,6.594848633E0
9.809982448E1,5.356140137E1,-5.755615234E0,7.495117188E0
9.820001369E1,5.296173096E1,-4.194641113E0,7.794189453E0
9.830029445E1,5.326232910E1,-3.674316406E0,4.493713379E0
9.840100246E1,5.296173096E1,-4.365539551E0,5.694580078E0
9.850171047E1,5.326232910E1,-3.324890137E0,6.294250488E0
9.860241848E1,5.296173096E1,-3.155517578E0,5.995178223E0
9.870312649E1,5.416259766E1,-3.504943848E0,6.594848633E0
9.880386501E1,5.356140137E1,-3.324890137E0,7.495117188E0
9.890622097E1,5.386199951E1,-3.155517578E0,5.393981934E0
9.900641018E1,5.356140137E1,-3.155517578E0,7.194519043E0
9.910656887E1,5.326232910E1,-3.155517578E0,8.393859863E0
9.920675808E1,5.386199951E1,-2.635192871E0,5.694580078E0
9.930737453E1,5.386199951E1,-3.155517578E0,7.194519043E0
9.940808254E1,5.446166992E1,-4.194641113E0,7.194519043E0
9.950879055E1,5.296173096E1,-4.884338379E0,7.794189453E0
9.960949856E1,5.266265869E1,-5.584716797E0,9.594726562E0
9.971020656E1,5.326232910E1,-6.794738770E0,8.694458008E0
9.981094509E1,5.266265869E1,-6.445312500E0,6.294250488E0
9.991299587E1,5.416259766E1,-5.755615234E0,5.094909668E0
1.000131546E2,5.416259766E1,-5.584716797E0,5.995178223E0
1.001133438E2,5.356140137E1,-5.755615234E0,5.094909668E0
1.002137466E2,5.356140137E1,-6.274414062E0,8.393859863E0
1.003144546E2,5.416259766E1,-6.094360352E0,6.294250488E0
1.004151626E2,5.266265869E1,-5.584716797E0,4.194641113E0
1.005158706E2,5.386199951E1,-6.614685059E0,7.194519043E0
1.006165786E2,5.266265869E1,-5.235290527E0,5.995178223E0
1.007172866E2,5.266265869E1,-5.064392090E0,5.094909668E0
1.008195510E2,5.416259766E1,-5.924987793E0,5.995178223E0
1.009197708E2,5.356140137E1,-5.924987793E0,5.995178223E0
1.010199295E2,5.266265869E1,-4.884338379E0,4.794311523E0
1.011201492E2,5.386199951E1,-6.094360352E0,7.495117188E0
1.012208267E2,5.326232910E1,-6.274414062E0,6.594848633E0
1.013215347E2,5.266265869E1,-5.064392090E0,6.294250488E0
1.014222427E2,5.326232910E1,-5.584716797E0,5.393981934E0
1.015229507E2,5.296173096E1,-5.584716797E0,5.995178223E0
1.016236892E2,5.236206055E1,-5.404663086E0,6.893920898E0
1.017261978E2,5.326232910E1,-4.365539551E0,7.495117188E0
1.018263565E2,5.296173096E1,-5.924987793E0,8.393859863E0
1.019265457E2,5.146179199E1,-5.064392090E0,5.694580078E0
1.020267349E2,5.296173096E1,-5.584716797E0,6.594848633E0
1.021271988E2,5.266265869E1,-4.884338379E0,5.995178223E0
1.022279068E2,5.206146240E1,-5.755615234E0,6.294250488E0
1.023286148E2,5.206146240E1,-5.404663086E0,7.495117188E0
1.024293228E2,5.266265869E1,-5.584716797E0,7.194519043E0
1.025300308E2,5.206146240E1,-5.924987793E0,4.194641113E0
1.026307388E2,5.236206055E1,-5.924987793E0,5.995178223E0
1.027329727E2,5.296173096E1,-6.445312500E0,7.495117188E0
1.028331314E2,5.266265869E1,-6.614685059E0,5.995178223E0
1.029333206E2,5.206146240E1,-5.584716797E0,4.194641113E0
1.030335708E2,5.386199951E1,-6.445312500E0,5.694580078E0
1.031342788E2,5.176239014E1,-6.274414062E0,5.995178223E0
1.032349868E2,5.266265869E1,-6.274414062E0,6.594848633E0
1.033356948E2,5.086212158E1,-5.404663086E0,5.694580078E0
1.034364029E2,5.056152344E1,-4.884338379E0,2.993774414E0
1.035371109E2,5.266265869E1,-6.274414062E0,6.594848633E0
1.036395584E2,5.326232910E1,-6.445312500E0,6.294250488E0
1.037397476E2,5.146179199E1,-5.924987793E0,6.594848633E0
1.038399063E2,5.086212158E1,-5.584716797E0,4.194641113E0
1.039400955E2,5.206146240E1,-6.094360352E0,7.495117188E0
1.040406509E2,5.146179199E1,-6.445312500E0,6.893920898E0
